id,name,link,art,description
024,Puzzles Lib,https://modrinth.com/mod/puzzles-lib,https://cdn.modrinth.com/data/QAGBst4M/97b8d6e51d8c36a031837736250cb059095e7b2b_96.webp,"Why it's called Puzzles, you ask? That's the puzzle!"
025,Geckolib,https://modrinth.com/mod/geckolib,https://cdn.modrinth.com/data/8BmcQJ2H/012d1aadbc754995de66e8c149a56aa10b63fe05_96.webp,"A 3D animation library for entities, blocks, items, armor, and more!"
026,Konkrete,https://modrinth.com/mod/konkrete,https://cdn.modrinth.com/data/J81TRJWm/4c569bccc9c3b2806060b3d48f7d20447818c941_96.webp,Just another boring library mod.
027,Sound Physics Remastered,https://modrinth.com/mod/sound-physics-remastered,https://cdn.modrinth.com/data/qyVF9oeo/798fbfae58ec95ad51f3e1d522b43227306c326c.png,"A Minecraft mod that provides realistic sound attenuation, reverberation, and absorption through blocks."
028,Just Enough Items,https://modrinth.com/mod/jei,https://cdn.modrinth.com/data/u6dRKJwZ/4a3f18ac0d096c9f8e9176984c44be4e58f94c89_96.webp,JEI - View Items and Recipes
029,FancyMenu,https://modrinth.com/mod/fancymenu,https://cdn.modrinth.com/data/Wq5SjeWM/e4e82d028244a1326e6d346bf5b5336140576bb9_96.webp,Customize Minecraft's menus with ease!
030,CreativeCore,https://modrinth.com/mod/creativecore,https://cdn.modrinth.com/data/OsZiaDHq/4953ecd3c0c8b185b2a56d64cdb104b03f3e5038_96.webp,A core mod
031,Chat Heads,https://modrinth.com/mod/chat-heads,https://cdn.modrinth.com/data/Wb5oqrBJ/icon.png,See who you're chatting with!
032,Mouse Tweaks,https://modrinth.com/mod/mouse-tweaks,https://cdn.modrinth.com/data/aC3cM3Vq/6c0eaa4e60a9c87f4766f222ff63286f09da32c0_96.webp,Enhances inventory management by adding various functions to the mouse buttons.
033,Model Gap Fix,https://modrinth.com/mod/modelfix,https://cdn.modrinth.com/data/QdG47OkI/5a8203e120985d11616614e11ad7b888997000d8.png,Fixes gaps in Block Models and Item Models
034,Bookshelf,https://modrinth.com/mod/bookshelf-lib,https://cdn.modrinth.com/data/uy4Cnpcm/002e73d916fb63c9c85e212ac47fde4ef9c4a65f.png,An open source library for other mods!
035,Veinminer,https://modrinth.com/datapack/veinminer,https://cdn.modrinth.com/data/OhduvhIc/f9c333a18b2c11a5fb063de8e86dba8b76094c66.png,Mine the whole vine on mining a single ore. Known feature by modpacks and pvp games like UHC (quick mine)
036,Iceberg,https://modrinth.com/mod/iceberg,https://cdn.modrinth.com/data/5faXoLqX/88c9b9918841470dad995049244ef7a3cb2f34f5_96.webp,"A modding library that contains new events, helpers, and utilities to make modder's lives easier."
037,Melody,https://modrinth.com/mod/melody,https://cdn.modrinth.com/data/CVT4pFB2/d5579bb295d7f90c87e65cbdcf47ab28e64ad913.png,OpenAL-based library mod for playing background music.
038,Essential Mod,https://modrinth.com/mod/essential,https://cdn.modrinth.com/data/k2ZPuTBm/7f7ac7cf2a46d5f02e9644372c44b3095ad61ffb_96.webp,"Enhance your Minecraft with one simple mod. Host worlds for free, chat with friends, and so much more!"
039,Clumps,https://modrinth.com/mod/clumps,https://cdn.modrinth.com/data/Wnxd13zP/6a965bb7974c3e759a53a1c89c35de4acd4cf86a_96.webp,Clumps XP orbs together to reduce lag
040,TerraBlender,https://modrinth.com/mod/terrablender,https://cdn.modrinth.com/data/kkmrDlKT/ffe690c604b123c63ee77a5baf76cf008cb73663.png,A library mod for adding biomes in a simple and compatible manner!
041,BetterF3,https://modrinth.com/mod/betterf3,https://cdn.modrinth.com//data/8shC1gFX/icon.png,"BetterF3 is a mod that replaces Minecraft's original debug HUD with a highly customizable, more human-readable HUD."
042,YUNG's API,https://modrinth.com/mod/yungs-api,https://cdn.modrinth.com/data/Ua7DFN59/0fab1c351bf00926a8e1c91dc64b7c88832c3e1f_96.webp,Library mod for YUNG's mods.
043,Moonlight Lib,https://modrinth.com/mod/moonlight,https://cdn.modrinth.com/data/twkfQtEc/icon.png,"dynamic data pack and registration, villager activities, custom map marker and a lot more"
044,Enchantment Descriptions,https://modrinth.com/mod/enchantment-descriptions,https://cdn.modrinth.com/data/UVtY3ZAC/1f857baf3d1f78e40343925176c084838c91a891_96.webp,Provides a way to get enchantment descriptions from enchanted books.
045,Controlling,https://modrinth.com/mod/controlling,https://cdn.modrinth.com/data/xv94TkTM/bdb6feb3d04ca37da4ed5aa73fef062a39d8b3e5_96.webp,Adds a search bar to the Key-Bindings menu
046,Shulker Box Tooltip,https://modrinth.com/mod/shulkerboxtooltip,https://cdn.modrinth.com/data/2M01OLQq/bb490716cf2590cf84100a495931c3d4743bce43_96.webp,View the contents of shulker boxes from your inventory
047,Searchables,https://modrinth.com/mod/searchables,https://cdn.modrinth.com/data/fuuu3xnx/206971d54b37b30a2e728b1c194f7f096963d05a_96.webp,"Searchables is a library mod that adds helper methods that allow for searching and filtering elements based on components, as well as offering built in auto-complete functionality."
048,Inventory Profiles Next,https://modrinth.com/mod/inventory-profiles-next,https://cdn.modrinth.com/data/O7RBXm3n/04cdecd37b4c7409f70d36fcdc85722ebf14aab8_96.webp,Take control over your inventory. Sort. Move matching Items. Throw all. Locked slots. Gear sets! And much more.
049,Patchouli,https://modrinth.com/mod/patchouli,https://cdn.modrinth.com/data/nU0bVIaL/c271809dda89c9e7a39f19d91f7cf6fba3ede585_96.webp,"Accessible, Data-Driven, Dependency-Free Documentation for Minecraft Modders and Pack Makers"
050,Cherished Worlds,https://modrinth.com/mod/cherished-worlds,https://cdn.modrinth.com/data/3azQ6p0W/14d3a7430f4e834fc0a86d228c6e17e5b9b33a0a.png,"Favorite/pin/bookmark certain worlds, which will always be at the top of the list and cannot be deleted."
051,libIPN,https://modrinth.com/mod/libipn,https://cdn.modrinth.com/data/onSQdWhM/feb2d62d9f150539bfd2a69d373866b1e643545c_96.webp,Inventory Profiles Next GUI/Config library
052,Kotlin for Forge,https://modrinth.com/mod/kotlin-for-forge,https://cdn.modrinth.com/data/ordsPcFz/064b8f129b776eb303f7f8b1a610e21d153c74b9_96.webp,Adds a Kotlin language loader and provides some optional utilities.
053,Roughly Enough Items (REI),https://modrinth.com/mod/rei,https://cdn.modrinth.com/data/nfn13YXA/54ac5daa4166011bae713448e84413987316433a_96.webp,Clean and Customizable. Alternative to Just Enough Items/JEI.
054,AmbientSounds,https://modrinth.com/mod/ambientsounds,https://cdn.modrinth.com/data/fM515JnW/9a8eca9c055ec1dd753a7209210fcb22a2d40ff7_96.webp,#listentonature
055,Resourceful Lib,https://modrinth.com/mod/resourceful-lib,https://cdn.modrinth.com/data/G1hIVOrD/52130f41d05162ce6d7d1832a47d3c238d102632_96.webp,Resourceful Lib
056,Oculus,https://modrinth.com/mod/oculus,https://cdn.modrinth.com/data/GchcoXML/09ef853cdfd3d467dead4faef37102535a2185d5_96.webp,"Unofficial Fork of ""Iris"", made to work with FML"
057,Embeddium,https://modrinth.com/mod/embeddium,https://cdn.modrinth.com/data/sk9rgfiA/55f9c50284f8abbbe2a485abfd6a16209201e451_96.webp,"A powerful, mod-friendly, FOSS client performance mod for NeoForge"
058,SuperMartijn642's Config Lib,https://modrinth.com/mod/supermartijn642s-config-lib,https://cdn.modrinth.com/data/LN9BxssP/ad25597dd1b10b49cdfbc97c70d401e3158000f7_96.webp,Config Lib makes dealing with config files just a bit easier.
059,Noisium,https://modrinth.com/mod/noisium,https://cdn.modrinth.com/data/KuNKN7d2/7490b4d8e08bde8df44b2a71774edf2fe3176c83_96.webp,Optimises worldgen performance for a better gameplay experience.
060,Cobblemon,https://modrinth.com/mod/cobblemon,https://cdn.modrinth.com/data/MdwFAVRL/abfca1654a2d09bab85cbffcc9869938c951ee0e_96.webp,A Pokémon mod for Fabric and NeoForge
061,BadOptimizations,https://modrinth.com/mod/badoptimizations,,Optimization mod that focuses on things other than rendering
062,Distant Horizons,https://modrinth.com/mod/distanthorizons,https://cdn.modrinth.com/data/uCdwusMi/e716cda9bb568b5373ff76e363fb4c6d7278fba6_96.webp,See farther without turning your game into a slide show
063,Curios API,https://modrinth.com/mod/curios,https://cdn.modrinth.com/data/vvuO3ImH/2a7323ca80849de0bcb50299e18acdf8bf394682.png,A flexible and expandable accessory/equipment API for users and developers.
064,EMI,https://modrinth.com/mod/emi,https://cdn.modrinth.com/data/fRiHVvU7/395fe5302b2bab612ef0623509f768f3c5a5ee0f.webp,A featureful and accessible item and recipe viewer
065,MidnightLib,https://modrinth.com/mod/midnightlib,https://cdn.modrinth.com/data/codAaoxh/icon.png,Common library providing a lightweight configuration system
066,playerAnimator,https://modrinth.com/mod/playeranimator,,animate the player
067,Visual Workbench,https://modrinth.com/mod/visual-workbench,https://cdn.modrinth.com/data/kfqD1JRw/e56a31e890d21c82cc454593e023df09f5ae3c36_96.webp,Items stay inside of crafting tables and are also rendered on top. It's really fancy!
068,Item Highlighter,https://modrinth.com/mod/item-highlighter,https://cdn.modrinth.com/data/cVNW5lr6/5e15f8c53ea36ca5391cdd9bbdea33261fa4c18d_96.webp,Highlights newly picked-up items. Simple and convenient.
069,Better Advancements,https://modrinth.com/mod/better-advancements,https://cdn.modrinth.com/data/Q2OqKxDG/b1519a191e62135647f66394d526d179ab5b598d.png,Better Advancements tries to improve the UI and UX for the advancements system in minecraft 1.12+ in a modded environment
070,CoroUtil,https://modrinth.com/mod/coroutil,https://cdn.modrinth.com/data/rLLJ1OZM/7c7b819ec62d311533db06f6674ce4ebeb867a9d_96.webp,Shared library mod for Corosus's mods
071,YUNG's Better Nether Fortresses,https://modrinth.com/mod/yungs-better-nether-fortresses,https://cdn.modrinth.com/data/Z2mXHnxP/3c88dd70c00b5e47addd9fdeba53a7c96076088d_96.webp,A complete redesign of Minecraft's Nether fortresses!
072,Remove Reloading Screen,https://modrinth.com/mod/rrls,https://cdn.modrinth.com/data/ZP7xHXtw/7a416b09817a79adfa6a3ef9368990135e276821_96.webp,"Makes resource packs load in the background, allowing you to do other things while waiting!"
073,Traveler's Backpack,https://modrinth.com/mod/travelersbackpack,https://cdn.modrinth.com/data/rlloIFEV/271b2133a315ee3d864ea5a429472f0e71591fe3_96.webp,"Unique and upgradeable backpacks with customisation, Curios API/Trinkets integration and more!"
074,YUNG's Better Mineshafts,https://modrinth.com/mod/yungs-better-mineshafts,https://cdn.modrinth.com/data/HjmxVlSr/4e41ef8344db48b8368cd3d6f35844c8a619f446_96.webp,A long-awaited and much-needed abandoned mineshaft overhaul!
075,YUNG's Better Dungeons,https://modrinth.com/mod/yungs-better-dungeons,https://cdn.modrinth.com/data/o1C1Dkj5/9b54b2d932a5a5b6565c93814935c04902f3179b_96.webp,A complete redesign of Minecraft's dungeons!
076,YUNG's Better Ocean Monuments,https://modrinth.com/mod/yungs-better-ocean-monuments,https://cdn.modrinth.com/data/3dT9sgt4/05c04c64ab9e5bf523701fa7bc0ac54adec25337_96.webp,A complete redesign of Minecraft's ocean monuments!
077,Dynamic Crosshair,https://modrinth.com/mod/dynamiccrosshair,https://cdn.modrinth.com/data/ZcR9weSm/8da8af58ca961f937bd05d41dcefa26be7b5c182.png,A mod that hides or changes the crosshair dependent on context
078,e4mc,https://modrinth.com/mod/e4mc,https://cdn.modrinth.com/data/qANg5Jrr/40269a95e1e4237e9204e0f8b2172cbf4658c9c1_96.webp,"Open a LAN server to anyone, anywhere, anytime."
079,Nature's Compass,https://modrinth.com/mod/natures-compass,https://cdn.modrinth.com/data/fPetb5Kh/9b0d54f2a8d9e49a10f5bcb8004bc757f55bb013.png,Allows you to locate biomes anywhere in the world.
080,Drippy Loading Screen,https://modrinth.com/mod/drippy-loading-screen,https://cdn.modrinth.com/data/v3CYg2V9/b36736dc0a70aaa930c79cf3988a4b420b627399_96.webp,Addon for FancyMenu to customize the loading screen.
081,Wavey Capes,https://modrinth.com/mod/wavey-capes,https://cdn.modrinth.com/data/kYuIpRLv/a51c297bdaf9685a23cc9994372fa8d45852b98b_96.webp,The cape shouldn't be a static slab
082,Better Third Person,https://modrinth.com/mod/better-third-person,https://cdn.modrinth.com/data/G1s2WpNo/icon.png,Improves third person camera view.
083,Supplementaries,https://modrinth.com/mod/supplementaries,https://cdn.modrinth.com/data/fFEIiSDQ/e9f5f66fa3b67e54acb91258a1428d68311c58bc_96.webp,"Vanilla+ additions: Jars, signposts, faucets, weather vanes spring launchers, sconces, planters, lights, decoration and automation"
084,Biomes O' Plenty,https://modrinth.com/mod/biomes-o-plenty,https://cdn.modrinth.com/data/HXF82T3G/ffb870e12c325b795d54833f8f899126553ef06f.png,"Adds 50+ unique biomes to enhance your world, with new trees, flowers, and more!"
085,Let Me Despawn,https://modrinth.com/plugin/lmd,https://cdn.modrinth.com/data/vE2FN5qn/2609f745e46bd92e57a67e1da07319eb2154c6f7.png,Improves performance by tweaking mob despawn rules. Say bye to pesky unintentional persistent mobs.
086,I18nUpdateMod,https://modrinth.com/mod/i18nupdatemod,https://cdn.modrinth.com/data/PWERr14M/d2bbfcc25d25d92896d8b0b63face492310b3f4b.png,"Brand new update mod for ""Minecraft Mod Language Package"".
全新的「简体中文资源包」自动更新模组。"
087,YUNG's Better Jungle Temples,https://modrinth.com/mod/yungs-better-jungle-temples,https://cdn.modrinth.com/data/z9Ve58Ih/a142b7d112fe6812592de7db2d2badb1398100a7_96.webp,A complete redesign of Minecraft's jungle temples!
088,YUNG's Better End Island,https://modrinth.com/mod/yungs-better-end-island,https://cdn.modrinth.com/data/2BwBOmBQ/78c665ae3617a5b7e8902242b480d7f71ef04307_96.webp,An overhaul of the main End Island where the dragon fight takes place!
089,YUNG's Better Strongholds,https://modrinth.com/mod/yungs-better-strongholds,https://cdn.modrinth.com/data/kidLKymU/bfb3cac4ca4d7d891fbbcb34a1d61eaa1d6f3e9a_96.webp,A complete redesign of Minecraft's strongholds!
090,YUNG's Better Witch Huts,https://modrinth.com/mod/yungs-better-witch-huts,https://cdn.modrinth.com/data/t5FRdP87/20d3e930ec0a010723df61df091160104294e0b0_96.webp,Adds overhauled witch huts to swamps!
091,Polymorph,https://modrinth.com/mod/polymorph,https://cdn.modrinth.com/data/tagwiZkJ/ed244c5829bde539763c7fffb55cb3194a349d66.png,No more recipe conflicts! Adds an option to choose the crafting result if more than one is available.
092,Cubes Without Borders,https://modrinth.com/mod/cubes-without-borders,https://cdn.modrinth.com/data/ETlrkaYF/6c1711b4b788b5f25cc1e99ed8805aea94d9e167_96.webp,Allows you to play Minecraft in a borderless fullscreen window.
093,Carry On,https://modrinth.com/mod/carry-on,https://cdn.modrinth.com/data/joEfVgkn/d7750a532cd45c9020bf4d07f304191de6e98c19_96.webp,Carry On allows you to pick up Tile Entities and Mobs and carry them around!
094,NetherPortalFix,https://modrinth.com/mod/netherportalfix,https://cdn.modrinth.com/data/nPZr02ET/1496de70af297897258b7520aafc0886fa0ad918_96.webp,Ensures correct destinations when travelling back and forth through Nether Portals in Multiplayer.
095,Fast IP Ping,https://modrinth.com/mod/fast-ip-ping,https://cdn.modrinth.com/data/9mtu0sUO/dca186a8a57d45ad06e88de6cfc45d4cc4c6a0ba.png,Yeet the laggy reversed DNS lookup for literal IP server addresses
096,Physics Mod,https://modrinth.com/mod/physicsmod,https://cdn.modrinth.com/data/Xy8aRQKS/0aa52952e4256ce21a0335279f90552f2eb9fa05_96.webp,Welcome to a more destructive Minecraft than you've ever seen before!
097,spark,https://modrinth.com/mod/spark,https://cdn.modrinth.com/data/l6YH9Als/61a777dd08a8447ac93e8b6372e6d27d48cd1e1a_96.webp,"spark is a performance profiler for Minecraft clients, servers and proxies."
098,Fastload,https://modrinth.com/mod/fastload,https://cdn.modrinth.com/data/kCpssoSb/47742fe96d19cdad9a3eb6a73bd9c7c1547fb4ad.png,Modifies how worlds are loaded to speed up loading times.
099,Resourceful Config,https://modrinth.com/mod/resourceful-config,https://cdn.modrinth.com/data/M1953qlQ/cadcab644905f7e9ee92220d29f5c27113eb167b_96.webp,Resourceful Config is a mod that allows for developers to make cross-platform configs
100,AttributeFix,https://modrinth.com/mod/attributefix,https://cdn.modrinth.com/data/lOOpEntO/68a2de475417c87817e11f49beaa903e4774ca20_96.webp,Removes arbitrary limits on Minecraft's attribute system. Fixes MANY mods!
101,Prism,https://modrinth.com/mod/prism-lib,https://cdn.modrinth.com/data/1OE8wbN0/2fecc17cdc6036b648f0defc7c9a85a6733be435_96.webp,A library all about color! Provides lots of color-related functionality for dependent mods.
102,Dungeons and Taverns,https://modrinth.com/datapack/dungeons-and-taverns,https://cdn.modrinth.com/data/tpehi7ww/429ba22d212868940cdd82465df949ac51c9791e_96.webp,"A Structure Datapack adding dungeons, taverns and other structures to find while you explore the world."
103,YUNG's Bridges,https://modrinth.com/mod/yungs-bridges,https://cdn.modrinth.com/data/Ht4BfYp6/b465e98ac5f2742cf52292e6649b6abb76665e8f_96.webp,Adds beautiful naturally generated bridges throughout the world!
104,Comforts,https://modrinth.com/mod/comforts,https://cdn.modrinth.com/data/SaCpeal4/ed4840f0c9a30e04ad88413bd82cd762dd6ec95d.png,"Adds sleeping bags and hammocks for, respectively, portability and turning day to night, without setting new spawns. Comes in 16 different colors!"
105,Waystones,https://modrinth.com/mod/waystones,https://cdn.modrinth.com/data/LOpKHB2A/6c81041b60d525d63c0b9da497db66cfda215e16_96.webp,"Teleport back to activated waystones. For Survival, Adventure or Servers."
106,Kiwi 🥝,https://modrinth.com/mod/kiwi,https://cdn.modrinth.com/data/ufdDoWPd/c8271bb2f34ff7af3768f103d50bceee8435b49c_96.webp,Minecraft modding library
107,InvMove,https://modrinth.com/mod/invmove,https://cdn.modrinth.com/data/REfW2AEX/24c63fa80c1e94bc45ca600ba9e0993ff91d289b_96.webp,Forge/Fabric/Quilt mod that adds the ability to walk around while in inventories
108,Terralith,https://modrinth.com/datapack/terralith,https://cdn.modrinth.com/data/8oi3bsk5/1959d924a1088944bbf07a06ba523726112d7e7a_96.webp,"Explore almost 100 new biomes consisting of both realism and light fantasy, using just Vanilla blocks. Complete with several immersive structures to compliment the overhauled terrain."
109,Athena,https://modrinth.com/mod/athena-mod,https://cdn.modrinth.com/data/b1ZV3DIJ/3dec7dd828894a4c5c6d98eaf960e9a418647b55_96.webp,A crossplatform (Forge/Fabric) solution to connected block textures for 1.19.4+
110,Chipped,https://modrinth.com/mod/chipped,https://cdn.modrinth.com/data/BAscRYKm/4faa514b4824672a0877d026bcd5a94bc8aad985_96.webp,Every block deserves a friend.
111,M.R.U,https://modrinth.com/mod/mru,https://cdn.modrinth.com/data/SNVQ2c0g/82339bfc8a0a3a6a3c376f5c29555a378379cfa0_96.webp,A library mod used by IMB11's mods to function.
112,Make Bubbles Pop,https://modrinth.com/mod/make_bubbles_pop,https://cdn.modrinth.com/data/gPCdW0Wr/4616c50230e3e716f02127a0e74f250470a07e85.png,Client-side mod that makes bubble particles pop and lets them rise realistically to the water surface.
113,Better Combat,https://modrinth.com/mod/better-combat,https://cdn.modrinth.com/data/5sy6g3kz/4d59a2a1ddd25f977b39c89e391edc4cdc7c71ba_96.webp,"⚔️ Easy, spectacular and fun melee combat system from Minecraft Dungeons."
114,Quark,https://modrinth.com/mod/quark,https://cdn.modrinth.com/data/qnQsVE2z/aef2119751d026421b9e9dc83d4470eec9f91a16_96.webp,A Quark is a very small thing. This mod is a collection of small things...
115,Open Parties and Claims,https://modrinth.com/mod/open-parties-and-claims,https://cdn.modrinth.com/data/gF3BGWvG/410c5443b268912b11709e7d03dd9ec3fda38ea5.png,"Adds the ability to claim chunks and make player parties, integrates with Xaero's Minimap and World Map"
116,Packet Fixer,https://modrinth.com/mod/packet-fixer,https://cdn.modrinth.com/data/c7m1mi73/388af00d61fa57e7e10612bcc099bf6ee0794e5e.png,A simple mod to fix various problems with packets and nbt.
117,YUNG's Better Desert Temples,https://modrinth.com/mod/yungs-better-desert-temples,https://cdn.modrinth.com/data/XNlO7sBv/32fc82949e922ad9281ac9a8fe965afc04261848_96.webp,A complete redesign of Minecraft's desert temples!
118,Cristel Lib,https://modrinth.com/mod/cristel-lib,https://cdn.modrinth.com/data/cl223EMc/22b1072af55724911840b93a30cf8d3b3fc514bf_96.webp,A Library mod for easy structure config and runtime datapacks.
119,Towns and Towers,https://modrinth.com/mod/towns-and-towers,https://cdn.modrinth.com/data/DjLobEOy/f7f552ec019c9ad8b777c9ab5eecbb95da8707a0_96.webp,"Spice up your world with new villages, pillager outposts, and even new ships!"
120,Yeetus Experimentus,https://modrinth.com/mod/yeetus-experimentus,https://cdn.modrinth.com/data/HaaH232J/6aee853f7f555ec6b033176fea8b78494cb538c1_96.webp,"Disable's the Experimental Settings popup, which appears when you create or load world."
121,JourneyMap,https://modrinth.com/mod/journeymap,https://cdn.modrinth.com/data/lfHFW1mp/a1c571a21a88f6fa59eab67829f216f65ab393ee_96.webp,Real-time mapping in game or in a web browser as you explore.
122,Handcrafted,https://modrinth.com/mod/handcrafted,https://cdn.modrinth.com/data/pJmCFF0p/e89faefc522d601db2a5fd70136f37ef7ce18569.png,Make your house a home!
123,CustomSkinLoader,https://modrinth.com/mod/customskinloader,https://cdn.modrinth.com/data/idMHQ4n2/icon.png,Custom Skin Loader mod for Minecraft.
124,Create,https://modrinth.com/mod/create,https://cdn.modrinth.com/data/LNytGWDc/61d716699bcf1ec42ed4926a9e1c7311be6087e2_96.webp,Aesthetic Technology that empowers the Player
125,Advancement Plaques,https://modrinth.com/mod/advancement-plaques,https://cdn.modrinth.com/data/9NM0dXub/bb63f53585dd34679781c9964874dce8acdf6d26_96.webp,Replace those boring advancement popups with something flashier.
126,Starlight (Forge),https://modrinth.com/mod/starlight-forge,https://cdn.modrinth.com/data/iRfIGC1s/aa11bf788b9893370ff1e26af1c275dfd7590c59_96.webp,Rewrites the light engine to fix lighting performance and lighting errors
127,Fzzy Config,https://modrinth.com/mod/fzzy-config,https://cdn.modrinth.com/data/hYykXjDp/11f469b1bf1f201a95c2e3ddc09ca47d85c3ed53.png,"Config API with automatic GUIs, powerful validation options, server-client sync, and more!"
128,First-person Model,https://modrinth.com/mod/first-person-model,https://cdn.modrinth.com/data/H5XMjpHi/90bd30920a8cd8e2c09839c4aacb229f525e2627_96.webp,Enables the third-person Model in first-person
129,Chunky,https://modrinth.com/plugin/chunky,https://cdn.modrinth.com/data/fALzjamp/e1954413665e57b7bae1feef44eda530270c7d47_96.webp,"Pre-generates chunks, quickly and efficiently"
130,EnhancedVisuals,https://modrinth.com/mod/enhancedvisuals,https://cdn.modrinth.com/data/KjL0jE2w/94613d78601f0b6b0c6e95f8eddd7d58738ac449_96.webp,Feel the pain!
131,Tom's Simple Storage Mod,https://modrinth.com/mod/toms-storage,https://cdn.modrinth.com/data/XZNI4Cpy/1949d7adbf962ac86912608edfb93fa5342bffd6_96.webp,Simple vanilla style storage mod
132,Bad Wither No Cookie - Reloaded,https://modrinth.com/mod/bad-wither-no-cookie,https://cdn.modrinth.com/data/lL2MtE37/a6e0b3969dec2c2fc98081d5f95ae8edac8ada95_96.webp,Localizes the wither and dragon death sounds.
